,FG%,2P%,3P%,eFG%,FT%,TS%,PPG,APG,RPG,SPG,BPG,TPG
Year1,0.5,0.5,0.5,0.6,0.8,0.9,20.0,9.0,2.0,1.0,0.1,5.0
Year2,0.5,0.5,0.5,0.6,0.8,0.9,20.0,9.0,2.0,1.0,0.1,5.0
Year3,0.5,0.5,0.5,0.6,0.8,0.9,20.0,9.0,2.0,1.0,0.1,5.0
Year4,0.5,0.5,0.5,0.6,0.8,0.9,20.0,9.0,2.0,1.0,0.1,5.0
,,,,,,,,,,,,
HEIGHT W/O SHOES (inches),73,,,,,,,,,,,
STANDING REACH,80,,,,,,,,,,,
WINGSPAN,84,,,,,,,,,,,
WINGSPAN/HEIGHT,1.05,,,,,,,,,,,
WEIGHT (LBS),200,,,,,,,,,,,
AGILITY,15,,,,,,,,,,,
SPRINT,5,,,,,,,,,,,
MAX VERT,30,,,,,,,,,,,